unified_rank,player,team,position,sleeper_rank,sources_count,unified_score,sleeper_pts,sleeper_floor,sleeper_pp90
101,Carl Rushworth,COV,GK,101,1,0.23933649289099526,208.3,158.55,5.48
102,Robert Sanchez,CHE,GK,102,1,0.24170616113744076,208.26,147.19,5.48
103,Dean Henderson,CRY,GK,103,1,0.24407582938388625,206.51,138.65,5.43
104,Matz Sels,NFO,GK,104,1,0.24644549763033174,206.33,141.45,5.43
105,Antonee Robinson,FUL,DEF,105,1,0.24881516587677724,205.89,160.64,8.42
106,Tyrick Mitchell,CRY,DEF,106,1,0.25118483412322273,205.71,136.53,6.17
107,Diogo Dalot,MUN,DEF,107,1,0.25355450236966826,205.6,159.16,7.12
108,Christos Tzolis,ARS,FWD,108,1,0.2559241706161137,204.86,139.2,10.24
109,Abdul Fatawu,IPS,FWD,109,1,0.25829383886255924,204.59,179.17,8.77
110,Dominic Solanke,TOT,FWD,110,1,0.26066350710900477,202.91,126.5,9.13
111,Antonin Kinsky,TOT,GK,111,1,0.26303317535545023,201.58,133.64,5.3
112,Marc Guehi,MCI,DEF,112,1,0.26540284360189575,201.2,134.08,9.05
113,Alysson,AVL,FWD,113,1,0.2677725118483412,200.37,127.39,12.88
114,Harry Wilson,LEE,MID,114,1,0.27014218009478674,199.74,148.26,8.17
115,James Hill,BOU,DEF,115,1,0.2725118483412322,199.13,167.97,8.96
116,Ferdi Kadioglu,BHA,DEF,116,1,0.27488151658767773,199.04,136.48,6.4
117,Mamadou Sangare,BRE,DEF,117,1,0.2772511848341232,198.68,134.2,8.13
118,Granit Xhaka,SUN,MID,118,1,0.2796208530805687,198.44,190.23,5.95
119,Moises Caicedo,CHE,MID,119,1,0.28199052132701424,196.98,191.11,6.57
120,Murillo,NFO,DEF,120,1,0.2843601895734597,193.85,148.06,5.82
121,Junior Kroupi,BOU,FWD,121,1,0.28672985781990523,192.99,121.95,9.65
122,Callum Hudson-Odoi,NFO,FWD,122,1,0.2890995260663507,192.57,140.26,11.55
123,Bart Verbruggen,BHA,GK,123,1,0.2914691943127962,192.33,130.54,5.06
124,Nikola Milenkovic,NFO,DEF,124,1,0.2938388625592417,190.93,132.88,5.73
