rank,player,team,position,pos_rank,price,ros_pct
1,Haaland,MCI,FWD,1,15.5,73.8
2,B.Fernandes,MUN,MID,1,12.0,48.2
3,Saka,ARS,MID,2,9.5,10.7
4,Palmer,CHE,MID,3,9.5,11.3
5,Joao Pedro,CHE,FWD,2,7.5,55.5
6,Szoboszlai,LIV,MID,4,7.0,44.2
7,Thiago,BRE,FWD,3,8.0,16.0
8,Gabriel,ARS,DEF,1,8.0,26.7
9,Watkins,AVL,FWD,4,8.0,12.7
10,Semenyo,MCI,MID,5,8.5,26.0
11,Isak,LIV,FWD,5,9.0,13.0
12,Wirtz,LIV,MID,6,7.5,14.2
13,Doku,MCI,MID,7,7.5,6.4
14,Anderson,MCI,MID,8,6.5,11.5
15,Rice,ARS,MID,9,7.5,22.0
16,Calvert-Lewin,LEE,FWD,6,6.0,24.9
17,Gibbs-White,NFO,MID,10,8.0,11.6
