rank,player,team,position,pos_rank,pts,floor,pp90
295,Reinildo,SUN,DEF,102,101.98,93.07,4.17
296,Frank Onyeka,COV,MID,113,101.71,100.47,6.54
297,Andrey Santos,MUN,MID,114,101.11,95.82,6.5
298,Brandon Thomas-Asante,COV,FWD,62,100.98,62.87,9.09
299,Timothy Castagne,FUL,DEF,103,99.73,77.87,6.41
300,Victor Torp,COV,MID,115,99.63,79.55,8.97
301,Daniel Munoz,CRY,DEF,104,99.08,68.94,8.92
302,Andrew Robertson,TOT,DEF,105,97.42,66.12,6.26
303,Olivier Boscagli,BHA,DEF,106,97.39,76.42,6.26
304,Regan Slater,HUL,MID,116,96.57,99.88,4.83
305,Stefanos Tzimas,BHA,FWD,63,95.67,57.73,12.3
306,Tyler Dibling,EVE,MID,117,94.8,79.65,8.53
307,Charlie Hughes,HUL,DEF,107,93.23,90.75,3.81
308,Jay Dasilva,COV,DEF,108,91.53,73.94,4.12
309,Chris Rigg,SUN,MID,118,91.34,74.54,6.85
310,Jefferson Lerma,CRY,MID,119,91.28,97.32,5.87
311,John Egan,HUL,DEF,109,91.08,83.26,4.1
312,Fabian Schar,NEW,DEF,110,90.02,68.33,6.75
313,Brennan Johnson,EVE,FWD,64,89.57,65.83,8.06
314,Amine Adli,BOU,FWD,65,89.46,70.71,10.06
315,Lukas Nmecha,LEE,FWD,66,85.65,53.2,9.64
316,Pau Torres,AVL,DEF,111,84.34,51.74,3.8
317,Evann Guessand,CRY,FWD,67,83.7,50.18,7.53
318,Rodrigo Bentancur,TOT,MID,120,83.22,85.15,6.24
319,Christian Norgaard,EVE,MID,121,81.46,77.91,7.33
320,Chadi Riad,CRY,DEF,112,80.87,59.25,6.07
321,Wilson Isidor,SUN,FWD,68,80.22,44.53,7.22
322,Valentin Barco,CHE,DEF,113,79.96,44.49,6.0
323,Chemsdine Talbi,SUN,FWD,69,79.88,55.49,5.99
324,Ryan Giles,HUL,DEF,114,75.97,60.23,2.85
325,Nico Gonzalez,MCI,MID,122,75.31,77.27,4.84
326,Jorge Cuenca,FUL,DEF,115,73.38,63.56,4.72
327,Lewis Cook,BOU,MID,123,73.27,73.62,7.33
328,David Brooks,BOU,MID,124,72.81,60.12,10.92
329,Sean Steur,NEW,MID,125,72.74,69.39,6.55
330,Jair Cunha,NFO,DEF,116,71.07,49.67,4.57
331,Callum Wilson,BRE,FWD,70,70.78,38.65,9.1
332,Rodri,MCI,MID,126,69.81,61.62,7.85
333,Issa Diop,IPS,DEF,117,68.75,56.98,2.58
334,Tim Iroegbunam,EVE,MID,127,66.79,68.65,6.68
335,Leon Bailey,AVL,MID,128,65.36,47.44,9.8
336,Noussair Mazraoui,MUN,DEF,118,64.89,54.21,6.49
337,Ayden Heaven,MUN,DEF,119,64.88,54.41,5.84
338,Lamare Bogarde,AVL,MID,129,64.4,69.71,4.14
339,Myles Lewis-Skelly,ARS,MID,130,63.72,62.76,4.78
340,Jaden Philogene,IPS,MID,131,62.54,44.8,9.38
341,Tyrone Mings,AVL,DEF,120,61.87,44.63,4.64
342,Brian Madjo,AVL,FWD,71,60.67,35.73,9.1
343,Veljko Milosavljevic,BOU,DEF,121,60.23,51.73,6.78
344,Rico Lewis,MCI,DEF,122,60.04,32.01,6.75
345,Max Dowman,ARS,MID,132,58.78,38.08,13.23
346,Eddie Nketiah,CRY,FWD,72,58.64,46.64,8.8
347,Nicolas Dominguez,NFO,MID,133,58.18,48.97,8.73
348,Kasey McAteer,IPS,MID,134,57.81,48.36,6.5
349,Thomas Meunier,SUN,DEF,123,56.76,37.46,5.11
350,Vitaly Janelt,BRE,MID,135,55.86,51.83,6.28
